序号,姓名,关系,URL,备注,NID
1,伯谦,友德长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=c2531beb-d22c-4d11-bc77-de7febc78652&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,下房支祖  娶高安人,c2531beb-d22c-4d11-bc77-de7febc78652
2,尚文,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=95803a5b-781f-451d-90ae-80cfdcfaa050&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,95803a5b-781f-451d-90ae-80cfdcfaa050
3,永实,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=fef30b23-ea57-4a28-a431-78106e7e31b7&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,下房东房祖,fef30b23-ea57-4a28-a431-78106e7e31b7
4,易师,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=57bc060b-994f-431b-bc61-d3217928c63d&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,57bc060b-994f-431b-bc61-d3217928c63d
5,日甯观,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=4517d287-4ede-4b23-bfec-23519549be24&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,4517d287-4ede-4b23-bfec-23519549be24
6,暖观,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=81389cc9-26ff-46f6-a886-d400330b8f48&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,81389cc9-26ff-46f6-a886-d400330b8f48
7,达观,三子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=63c35a1e-7aa1-41ed-b22e-ac31a8627bed&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,63c35a1e-7aa1-41ed-b22e-ac31a8627bed
8,易豫,三子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=e09c74a9-12f1-461e-b43b-bc16e769fe7a&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,e09c74a9-12f1-461e-b43b-bc16e769fe7a
9,睦观,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=973aa0ca-8499-4280-955a-804a9398d9d0&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,973aa0ca-8499-4280-955a-804a9398d9d0
10,耆观,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=21927b71-e916-4ad9-8efc-bb51455a62b7&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,21927b71-e916-4ad9-8efc-bb51455a62b7
11,瞻观,三子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=3dae75b0-cd3a-4903-978c-0271bb14fda9&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,3dae75b0-cd3a-4903-978c-0271bb14fda9
12,易临,四子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=6c89915b-2813-4986-bd2a-c4950ba0bb7a&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,6c89915b-2813-4986-bd2a-c4950ba0bb7a
13,䀖观,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=1e4964e2-721a-45b9-bf9d-b7e982b4e2f6&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,南坪庄祖,1e4964e2-721a-45b9-bf9d-b7e982b4e2f6
14,眐观,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=36792671-1338-49ed-8baa-9b36d95dc93e&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,南坪庄基祖,36792671-1338-49ed-8baa-9b36d95dc93e
15,永坚,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=0e99f6b7-11c4-4cf5-b6a4-ba86fce2a53d&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,下房西房祖,0e99f6b7-11c4-4cf5-b6a4-ba86fce2a53d
16,易济,三子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=3ea99023-7305-4837-967d-cff4badc8d75&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,3ea99023-7305-4837-967d-cff4badc8d75
17,义观,三子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=93fcc075-fee4-4e73-a8fa-7a5305d96b82&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,93fcc075-fee4-4e73-a8fa-7a5305d96b82
18,尚质,幼子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=fbcf6d14-384e-4d96-8b20-545770fae868&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,八佾庄基祖,fbcf6d14-384e-4d96-8b20-545770fae868
19,公概,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=5bae1a25-8c08-4667-acd3-d2f54ac931b5&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,5bae1a25-8c08-4667-acd3-d2f54ac931b5
20,光熙,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=a7b6a10b-b285-4cff-b427-7f222ab90204&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,a7b6a10b-b285-4cff-b427-7f222ab90204
21,懋勲,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=2f23a41a-07c8-498a-8271-a75a6e38de1b&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,2f23a41a-07c8-498a-8271-a75a6e38de1b
22,公昂,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=4e996551-4624-4c52-8ba4-29768bc3a8e5&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,4e996551-4624-4c52-8ba4-29768bc3a8e5
23,公祝,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=a62a7664-551a-46d3-858b-5cdcdd77924c&TId=1&GId=6461&ZId=44457&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,a62a7664-551a-46d3-858b-5cdcdd77924c
