序号,姓名,关系,URL,备注,NID
1,伯益,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=35cb6c32-b08e-4eec-98f6-50162ffed779&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,35cb6c32-b08e-4eec-98f6-50162ffed779
2,大廉,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=04a8376b-d819-4949-86ca-6e858433b610&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,陆氏,04a8376b-d819-4949-86ca-6e858433b610
3,天英,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=df720a8b-f789-4580-84b7-b7e8932074cb&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,df720a8b-f789-4580-84b7-b7e8932074cb
4,若木,三子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=fec10f1e-42e7-4097-92d4-ed2653967091&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,fec10f1e-42e7-4097-92d4-ed2653967091
5,终,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=dee51a6f-bb51-47ae-9de4-e9f911239750&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,dee51a6f-bb51-47ae-9de4-e9f911239750
6,季勝,三子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=3ee0b4c5-d2ba-4309-99bc-c2f8191e5bba&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,3ee0b4c5-d2ba-4309-99bc-c2f8191e5bba
7,简,四子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=15d68657-8aa8-490b-8a70-fc51f55f6db9&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,15d68657-8aa8-490b-8a70-fc51f55f6db9
8,征国,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=df58834b-4f79-4a2f-989d-f070b82423cd&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,df58834b-4f79-4a2f-989d-f070b82423cd
9,房,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=ac5bee86-e070-47ca-a995-0a68d69b24c1&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,ac5bee86-e070-47ca-a995-0a68d69b24c1
10,仁,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=b523f66d-bc90-4677-9aee-69bb1427353d&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,b523f66d-bc90-4677-9aee-69bb1427353d
11,珪,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=a9ba768a-d4f9-40a1-9157-7f94c159cdff&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,a9ba768a-d4f9-40a1-9157-7f94c159cdff
12,豹,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=2a69145f-3c8a-4aec-bb6a-2e9f6756a1cf&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,2a69145f-3c8a-4aec-bb6a-2e9f6756a1cf
13,谦,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=10da11d8-1449-4d50-9a2a-e0fec827fc5b&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,10da11d8-1449-4d50-9a2a-e0fec827fc5b
14,澄,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=7ed29b0d-7ef1-4b77-b9fd-6728ad434dd2&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,7ed29b0d-7ef1-4b77-b9fd-6728ad434dd2
15,僉,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=364ec8ee-0ae9-440a-8611-363634f34f6d&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,364ec8ee-0ae9-440a-8611-363634f34f6d
16,烨,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=9a39adac-5b97-4e2d-81b7-e9e1b06cac1d&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,承二祧,9a39adac-5b97-4e2d-81b7-e9e1b06cac1d
17,祖平,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=1d60abed-8650-43fc-b1ae-ffd7180d84f4&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,1d60abed-8650-43fc-b1ae-ffd7180d84f4
18,禹,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=bbdb836b-e48d-4708-976a-b11f3d43d9d5&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,bbdb836b-e48d-4708-976a-b11f3d43d9d5
19,清,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=d13e1d50-498c-45f4-94db-4747cd9cb922&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,承二祧,d13e1d50-498c-45f4-94db-4747cd9cb922
20,寳,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=4dded158-cde8-465f-ac5e-3ef066d957eb&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,4dded158-cde8-465f-ac5e-3ef066d957eb
21,宽,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=ef70b9b5-1434-42ca-9c99-b9ab074435da&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,ef70b9b5-1434-42ca-9c99-b9ab074435da
22,興,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=889d49d6-06b2-446d-8fa1-7db49ce3d901&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,889d49d6-06b2-446d-8fa1-7db49ce3d901
23,明,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=5b09ed89-4774-4181-adb0-249533d9f3aa&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,5b09ed89-4774-4181-adb0-249533d9f3aa
24,强,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=cd7fdad0-d4db-4b2c-9d9e-be9387ad9434&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,cd7fdad0-d4db-4b2c-9d9e-be9387ad9434
25,通民,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=2b7ad339-214a-471d-8406-5a8cfc9c2e5d&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,2b7ad339-214a-471d-8406-5a8cfc9c2e5d
26,叔茂,三子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=d51ca86c-e9c7-43fb-92a3-7ee56f506fff&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,d51ca86c-e9c7-43fb-92a3-7ee56f506fff
27,车,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=1b7aaea0-6da1-4670-96be-b21a3af3bb1b&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,1b7aaea0-6da1-4670-96be-b21a3af3bb1b
28,能,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=7cd92b8b-166b-4c44-a39e-df331fd81be1&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,7cd92b8b-166b-4c44-a39e-df331fd81be1
29,宏,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=1e79f609-d11c-49e5-973d-efa55ce984ce&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,1e79f609-d11c-49e5-973d-efa55ce984ce
30,瑞,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=b246bc30-d1bf-42d7-90b0-ec3dc14d8ce2&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,b246bc30-d1bf-42d7-90b0-ec3dc14d8ce2
31,并,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=9101e971-82df-448b-bb2f-24e64a88242f&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,9101e971-82df-448b-bb2f-24e64a88242f
32,權,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=32dd3579-e15d-41ab-a04c-016161ae8ec8&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,32dd3579-e15d-41ab-a04c-016161ae8ec8
33,侍,三子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=d4fcf3ad-c530-42ab-bb86-01e7b4388be6&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,d4fcf3ad-c530-42ab-bb86-01e7b4388be6
34,世长,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=84ea5953-874f-48c7-a627-7c63b10b74cf&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,84ea5953-874f-48c7-a627-7c63b10b74cf
35,恭,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=dc25693b-a3fd-42b1-a658-42bf834c4cc6&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,dc25693b-a3fd-42b1-a658-42bf834c4cc6
36,祥,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=05b2d6cd-cfc6-46ef-a93d-507cc9931f86&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,05b2d6cd-cfc6-46ef-a93d-507cc9931f86
37,範,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=b80c7609-b9b5-4774-ac39-15c21221a649&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,b80c7609-b9b5-4774-ac39-15c21221a649
38,籜,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=3167811f-ab32-4424-81d3-f8aa1be503e1&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,3167811f-ab32-4424-81d3-f8aa1be503e1
39,安,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=9aca5c5c-38b8-47f8-89b6-99b99c0b9134&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,9aca5c5c-38b8-47f8-89b6-99b99c0b9134
40,忠,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=26bf9b05-6eab-4ab1-b8f7-6664ffa23177&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,26bf9b05-6eab-4ab1-b8f7-6664ffa23177
41,超,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=bd159215-57c1-41c9-bfdf-696ee1f2a32f&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,bd159215-57c1-41c9-bfdf-696ee1f2a32f
42,康,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=f829a978-19b2-4e97-b321-82669eec4995&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,f829a978-19b2-4e97-b321-82669eec4995
43,渰,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=18c0440a-a09a-4feb-86d5-6cafab895c22&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,18c0440a-a09a-4feb-86d5-6cafab895c22
44,彦,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=c23791c8-5952-4011-8f15-45597b432356&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,c23791c8-5952-4011-8f15-45597b432356
45,卿,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=f289ba96-7684-4df2-ad29-61983d599d0e&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,f289ba96-7684-4df2-ad29-61983d599d0e
46,相,三子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=45c25b88-a8e4-4dae-8cb1-65f7caccd60f&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,45c25b88-a8e4-4dae-8cb1-65f7caccd60f
47,绥,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=d92a7bfa-9f8b-4d82-ad23-8d766f6d9548&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,d92a7bfa-9f8b-4d82-ad23-8d766f6d9548
48,诞,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=d5c29678-9dab-4b53-8647-e435b4d3553d&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,d5c29678-9dab-4b53-8647-e435b4d3553d
49,寳宗,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=c63ce628-89fe-4de7-8e1c-a41ba649fc29&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,c63ce628-89fe-4de7-8e1c-a41ba649fc29
50,仁,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=812aaff1-cad1-4a1a-aec2-d2936949c3f7&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,812aaff1-cad1-4a1a-aec2-d2936949c3f7
51,宏,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=4c5f91aa-4135-4331-a1ca-3f050e094e43&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,4c5f91aa-4135-4331-a1ca-3f050e094e43
52,仕,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=dab0c6c6-30bf-4f7c-9752-d54eea414232&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,dab0c6c6-30bf-4f7c-9752-d54eea414232
53,絃,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=fa256ca1-ee0e-4c79-8792-035b1891a699&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,fa256ca1-ee0e-4c79-8792-035b1891a699
54,寳衡,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=51242619-f3ae-40dc-abae-f9dc8620514b&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,51242619-f3ae-40dc-abae-f9dc8620514b
55,寳明,三子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=4cf2efb6-185c-4ccb-b871-89e7104c7549&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,4cf2efb6-185c-4ccb-b871-89e7104c7549
56,尫,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=6823de07-fed6-496d-abe0-5d070c061583&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,6823de07-fed6-496d-abe0-5d070c061583
57,恭,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=4f440a46-608c-41ba-a850-ad2406c3f09f&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,4f440a46-608c-41ba-a850-ad2406c3f09f
58,畅,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=b6708f18-8533-4b2e-bea4-2978774c15d2&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,b6708f18-8533-4b2e-bea4-2978774c15d2
59,永,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=dfe5079b-3cb6-4363-9bad-aeaf9f77d09f&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,dfe5079b-3cb6-4363-9bad-aeaf9f77d09f
60,思,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=8ea8a6ef-ce4a-4d6e-a34d-ec9120ebbf5e&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,8ea8a6ef-ce4a-4d6e-a34d-ec9120ebbf5e
61,恩,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=d03736e2-8e28-4ecc-97a5-0ae842ef5f22&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,d03736e2-8e28-4ecc-97a5-0ae842ef5f22
62,强,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=3a75b1ff-1d32-4394-939c-8f7341823e7a&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,3a75b1ff-1d32-4394-939c-8f7341823e7a
63,亘,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=55d1545f-bde4-4c1f-8d92-064326baf08b&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,55d1545f-bde4-4c1f-8d92-064326baf08b
64,章禹,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=055a2e46-0650-48b4-a0ee-3be653ac99bc&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,055a2e46-0650-48b4-a0ee-3be653ac99bc
65,融,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=ed977aad-df33-4d32-b392-33a8321a4155&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,ed977aad-df33-4d32-b392-33a8321a4155
66,简,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=b0a8f6e8-aac1-4943-a771-279b8ec5a18e&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,b0a8f6e8-aac1-4943-a771-279b8ec5a18e
67,宇,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=6a20fed7-b75f-425d-860d-75bedbcc604c&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,6a20fed7-b75f-425d-860d-75bedbcc604c
68,侨,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=32dbe3aa-3fd5-49c4-8bc9-2a0d167c658d&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,32dbe3aa-3fd5-49c4-8bc9-2a0d167c658d
69,满,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=ec9a4d90-8e37-44c8-bce9-ea2abd4e91ca&TId=1&GId=6461&ZId=45951&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,ec9a4d90-8e37-44c8-bce9-ea2abd4e91ca
