序号,姓名,关系,URL,备注,NID
1,旭,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=ccaac52f-03a4-4f86-8e57-fb0bfd00587c&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,兄弟由西山而卜居杨溪,ccaac52f-03a4-4f86-8e57-fb0bfd00587c
2,祉,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=bf51b2ba-5904-4525-896d-8f20d5713d0c&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,bf51b2ba-5904-4525-896d-8f20d5713d0c
3,受,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=b642a074-36fc-4118-a719-2e8a18c46f97&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,b642a074-36fc-4118-a719-2e8a18c46f97
4,乐,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=b922cc11-a48d-478e-8d60-b032b60892aa&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,b922cc11-a48d-478e-8d60-b032b60892aa
5,锡,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=a7433506-539c-4e22-a8ee-d97d2d8b1dc8&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,a7433506-539c-4e22-a8ee-d97d2d8b1dc8
6,铜,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=9dfdfc98-573e-431a-95e4-646b66aefddd&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,9dfdfc98-573e-431a-95e4-646b66aefddd
7,铸,三子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=3fbf8d8d-97ba-4c37-b29c-988292e17e08&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,3fbf8d8d-97ba-4c37-b29c-988292e17e08
8,彰,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=cc685ad0-d917-4b00-9d3b-ace7cc003f9d&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,cc685ad0-d917-4b00-9d3b-ace7cc003f9d
9,爱,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=dc6d0086-0728-4d47-9005-8f6ccfc611c6&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,dc6d0086-0728-4d47-9005-8f6ccfc611c6
10,诗,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=2d77d614-09a0-4cb7-b517-79a8a4dd57cf&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,2d77d614-09a0-4cb7-b517-79a8a4dd57cf
11,福公,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=e0306080-21e8-441c-a09a-6ccb93a56fb0&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,e0306080-21e8-441c-a09a-6ccb93a56fb0
12,旦,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=5b86217e-ff1c-442b-b28a-f46f49dbfec4&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,5b86217e-ff1c-442b-b28a-f46f49dbfec4
13,禄,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=f6e45b16-64f6-4296-86bd-6e172478309c&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,f6e45b16-64f6-4296-86bd-6e172478309c
14,诚,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=78939127-fe46-465f-b940-99ddeeacbd29&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,78939127-fe46-465f-b940-99ddeeacbd29
15,琚,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=f55d0d69-9c15-47bf-ab99-b65296b1cb1c&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,f55d0d69-9c15-47bf-ab99-b65296b1cb1c
16,观,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=1be7b112-85c3-4f21-bd1f-646cfe078261&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,1be7b112-85c3-4f21-bd1f-646cfe078261
17,微,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=993b8673-c95c-4ad4-9d93-ea0aea5b5e38&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,993b8673-c95c-4ad4-9d93-ea0aea5b5e38
18,孟,三子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=06dbdf99-d820-47c6-bfd5-6983e0962525&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,06dbdf99-d820-47c6-bfd5-6983e0962525
19,砚,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=9ce6de28-5991-4406-a227-be891e9d7135&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,9ce6de28-5991-4406-a227-be891e9d7135
20,瑶,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=7dd32ff3-814e-4ae3-93f0-84f6258b3c27&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,7dd32ff3-814e-4ae3-93f0-84f6258b3c27
21,见,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=cb9ef911-49dc-4b0a-b43c-15b411c92e3d&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,cb9ef911-49dc-4b0a-b43c-15b411c92e3d
22,衡,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=efa108c3-9f9d-4dfc-9990-f5837c1b063b&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,efa108c3-9f9d-4dfc-9990-f5837c1b063b
23,叔,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=3d0e33e0-0dc9-4f0a-9a76-b9c5916f7ccb&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,3d0e33e0-0dc9-4f0a-9a76-b9c5916f7ccb
24,季,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=dd9049de-c99f-43c8-ac82-ae0dcdb7914d&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,dd9049de-c99f-43c8-ac82-ae0dcdb7914d
25,让,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=97ac6bd6-7187-4976-b4d0-0db4d47e2095&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,延于闽省,97ac6bd6-7187-4976-b4d0-0db4d47e2095
26,璧,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=62a5f586-31be-48d2-b2f9-0bf09cdf6af9&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,62a5f586-31be-48d2-b2f9-0bf09cdf6af9
27,纯,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=204c5411-85bf-45e8-9d2b-faffc72ed300&TId=1&GId=6461&ZId=43606&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,204c5411-85bf-45e8-9d2b-faffc72ed300
