序号,姓名,关系,URL,备注,NID
1,伯贞,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=0bb41f80-52c3-49c9-9169-0ca4e23acf33&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,0bb41f80-52c3-49c9-9169-0ca4e23acf33
2,尚瑛,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=c0b6d1bd-0edd-431b-b00a-4d6aff72ff85&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,居学官垅村又名祠堂村,c0b6d1bd-0edd-431b-b00a-4d6aff72ff85
3,永正,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=778672de-c441-4832-85ea-c538b72bea80&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,学官垅,778672de-c441-4832-85ea-c538b72bea80
4,朝槁,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=e19de53b-477e-4276-b4ff-850ff4c173f7&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,e19de53b-477e-4276-b4ff-850ff4c173f7
5,一性,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=06d7dcd2-3346-4d6d-aabf-a59284adafc6&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,06d7dcd2-3346-4d6d-aabf-a59284adafc6
6,甫亮,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=8bff04fb-7c72-4ecd-9168-14165f29ea5b&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,8bff04fb-7c72-4ecd-9168-14165f29ea5b
7,明娄,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=096e4d0f-012b-42b7-bc94-8d00192fcf48&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,096e4d0f-012b-42b7-bc94-8d00192fcf48
8,曰富,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=1445511a-28fa-4225-9654-1af93677eca9&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,1445511a-28fa-4225-9654-1af93677eca9
9,嘉训,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=416e299c-c20f-466a-b106-bdfc9d6441a2&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,416e299c-c20f-466a-b106-bdfc9d6441a2
10,隆桃,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=a6e25796-f21f-4e13-91cb-350088083c83&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,a6e25796-f21f-4e13-91cb-350088083c83
11,甫棋,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=980b2298-de8b-4479-8126-3645d061aa7b&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,980b2298-de8b-4479-8126-3645d061aa7b
12,明奎,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=5bd231ce-a2cd-4c20-8367-49b6e015b328&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,5bd231ce-a2cd-4c20-8367-49b6e015b328
13,曰允,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=f868df82-4839-4a73-9d4a-50fec995721f&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,f868df82-4839-4a73-9d4a-50fec995721f
14,嘉祥,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=440fb0a0-5873-40bb-8480-a69665017503&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,440fb0a0-5873-40bb-8480-a69665017503
15,隆海,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=0b563b90-7a97-4f7c-a3fe-43944e708a36&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,0b563b90-7a97-4f7c-a3fe-43944e708a36
16,嘉庆,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=4aae20b3-b225-428f-a6f4-f09e6eeff442&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,4aae20b3-b225-428f-a6f4-f09e6eeff442
17,隆太,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=04d6f3c8-b523-44af-9f49-69abdc418994&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,04d6f3c8-b523-44af-9f49-69abdc418994
18,甫晨,三子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=3a6a9875-d171-4944-afac-9d4b52b5e79a&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,3a6a9875-d171-4944-afac-9d4b52b5e79a
19,明阁,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=b5cf65d7-4455-4791-b9cc-1bc621ecea52&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,b5cf65d7-4455-4791-b9cc-1bc621ecea52
20,曰谦,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=2eaced7e-1275-4c9c-8514-d6ac98d2874a&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,2eaced7e-1275-4c9c-8514-d6ac98d2874a
21,嘉福,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=b20daaf5-d601-4856-bb12-9c1a15727271&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,b20daaf5-d601-4856-bb12-9c1a15727271
22,隆大,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=e418f7fb-ee65-4376-9f71-ed3a13b63b32&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,e418f7fb-ee65-4376-9f71-ed3a13b63b32
23,甫园,四子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=70dd9d9d-16dc-4653-9a8e-fc3a84ed46a1&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,70dd9d9d-16dc-4653-9a8e-fc3a84ed46a1
24,明茂,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=4abebbb7-6d8c-40ca-aefb-07d07bb28c90&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,4abebbb7-6d8c-40ca-aefb-07d07bb28c90
25,曰昌,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=18692027-2cc5-4a63-994a-6caac07ebffb&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,18692027-2cc5-4a63-994a-6caac07ebffb
26,嘉启,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=be6319e5-468d-4761-9bc2-88f81e6e095a&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,be6319e5-468d-4761-9bc2-88f81e6e095a
27,隆桃,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=bdd851dd-2389-4670-bf63-643b92cf67d2&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,bdd851dd-2389-4670-bf63-643b92cf67d2
28,嘉灯,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=41f44e96-57c0-43fc-a6a1-e4d46a86ffd1&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,41f44e96-57c0-43fc-a6a1-e4d46a86ffd1
29,甫浪,五子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=bc8ae5a9-568c-42c1-a584-c9c5951a6413&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,bc8ae5a9-568c-42c1-a584-c9c5951a6413
30,明宿,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=93e18a08-3c56-404c-9172-126b73540e25&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,93e18a08-3c56-404c-9172-126b73540e25
31,曰濲,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=7ab25869-175e-4698-aa60-395fa95c2b7e&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,7ab25869-175e-4698-aa60-395fa95c2b7e
32,嘉帝,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=067f15a9-98fa-4e26-bc13-730b12756ffe&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,济家桥 祠堂 与鲤溪共祖,067f15a9-98fa-4e26-bc13-730b12756ffe
33,隆辉,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=aabc42f6-9a09-454f-9c80-13391b24e406&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,aabc42f6-9a09-454f-9c80-13391b24e406
34,甫洪,六子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=4d04a659-daa7-4945-9896-09458d99a30b&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,4d04a659-daa7-4945-9896-09458d99a30b
35,明宝,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=07e2710b-e141-43fd-8d66-7898714fa4fe&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,07e2710b-e141-43fd-8d66-7898714fa4fe
36,曰盛,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=7545d369-4fc3-4bf1-af8f-247cbd06e0c3&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,7545d369-4fc3-4bf1-af8f-247cbd06e0c3
37,盛吉,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=4b829c76-9cf9-4b3a-a66f-5db76435b451&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,4b829c76-9cf9-4b3a-a66f-5db76435b451
38,维斗,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=deeb859e-2c31-4305-9045-fd8fa4cd861e&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,deeb859e-2c31-4305-9045-fd8fa4cd861e
39,新载,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=df487b4f-1829-405f-a58b-0eae9d90f13d&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,df487b4f-1829-405f-a58b-0eae9d90f13d
40,昭渼,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=5ad651f0-da9a-44ee-b8fa-d6d5ab6b7f9e&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,5ad651f0-da9a-44ee-b8fa-d6d5ab6b7f9e
41,伟震,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=ac744be0-a563-49f6-b274-1d96e97c2062&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,ac744be0-a563-49f6-b274-1d96e97c2062
42,伟井,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=56f76551-ff0d-48a9-abcd-ad4375692eff&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,56f76551-ff0d-48a9-abcd-ad4375692eff
43,昭澍,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=d9aab2c1-5db5-46b0-83f9-5f8de6ceed97&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,d9aab2c1-5db5-46b0-83f9-5f8de6ceed97
44,伟復,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=9683de8f-111a-42b9-9536-1c91384a0390&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,9683de8f-111a-42b9-9536-1c91384a0390
45,伟待,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=a52dee6f-05e2-4bfb-9515-8f35175e41a5&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,a52dee6f-05e2-4bfb-9515-8f35175e41a5
46,新軨,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=16c86bac-34b7-4911-9fd7-63468ac08481&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,16c86bac-34b7-4911-9fd7-63468ac08481
47,昭源,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=acff7853-d278-4fbe-ad56-d3ff768b80a0&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,acff7853-d278-4fbe-ad56-d3ff768b80a0
48,伟谦,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=6545200a-e497-439f-b78c-a695996658bd&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,6545200a-e497-439f-b78c-a695996658bd
49,伟萃,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=fd264faa-7523-4a2b-a8fe-0efd9cfbd683&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,fd264faa-7523-4a2b-a8fe-0efd9cfbd683
50,新轴,三子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=4d334588-708e-42fa-9b07-9d8923ea649a&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,4d334588-708e-42fa-9b07-9d8923ea649a
51,昭澄,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=f42c14d4-6f7b-4be3-89a9-5165f69ec25d&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,f42c14d4-6f7b-4be3-89a9-5165f69ec25d
52,伟仁,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=988f5def-3887-4b0b-9ffb-bfd883d6600f&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,988f5def-3887-4b0b-9ffb-bfd883d6600f
53,伟信,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=2cf100f8-f8e8-4a29-beff-abe64ce8486d&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,2cf100f8-f8e8-4a29-beff-abe64ce8486d
54,新轶,四子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=d1afd7a9-7c85-43ed-9292-c1bb44789f96&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,d1afd7a9-7c85-43ed-9292-c1bb44789f96
55,昭瀔,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=9c4c3b2c-528e-48f7-95d7-608309690372&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,9c4c3b2c-528e-48f7-95d7-608309690372
56,伟修,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=d16b9df1-4336-4c9b-8464-e26afab37e53&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,d16b9df1-4336-4c9b-8464-e26afab37e53
57,昭澧,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=00d9c664-c40e-403b-8e39-82c9d18f5527&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,00d9c664-c40e-403b-8e39-82c9d18f5527
58,伟供,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=838551cd-11b7-4dda-8325-f11e6f654dff&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,838551cd-11b7-4dda-8325-f11e6f654dff
59,盛柳,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=09c9f114-a0f2-48ca-864e-e4cf9468368c&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,09c9f114-a0f2-48ca-864e-e4cf9468368c
60,维昂,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=0002cadc-76fb-4cd6-a392-766179333db8&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,0002cadc-76fb-4cd6-a392-766179333db8
61,维昇,次子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=8c3b05e0-f005-4c7d-9149-8d9029059b89&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,8c3b05e0-f005-4c7d-9149-8d9029059b89
62,新待,长子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=c763fdd7-0b05-4e05-9194-051358f362ac&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,c763fdd7-0b05-4e05-9194-051358f362ac
63,昭佳,之子,http://112.5.13.209:88/wap/zp_CV.aspx?NId=bcd10160-a2c3-4c1b-8deb-65d5466d0484&TId=1&GId=6461&ZId=44635&UId=南昌谱源公司&MId=&XId=307&AId=&RId=,,bcd10160-a2c3-4c1b-8deb-65d5466d0484
